path,language,duration_s,clipping_rate,vad_ratio,hard_reject_reason
data\audios\telugu\train-00005-of-00056\4503599627629611_chunk_4.flac,telugu,3.424,0.05603825934579439,0.7982456140350878,clipping_rate=0.056 > 0.05
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_7.flac,hindi,4.631,0.0,0.2662337662337662,vad_ratio=0.2662 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_21.flac,hindi,2.537,0.0,0.2261904761904762,vad_ratio=0.2262 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_19.flac,hindi,2.036,0.0,0.11940298507462686,vad_ratio=0.1194 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_14.flac,hindi,2.025,0.0,0.11940298507462686,vad_ratio=0.1194 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_13.flac,hindi,2.203,0.0,0.1917808219178082,vad_ratio=0.1918 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\15191100-4efc-4d04-a2dd-eaea2fde8d2d_1_chunk_12.flac,hindi,1.54,0.0,0.23529411764705882,vad_ratio=0.2353 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_8.flac,hindi,1.722,0.0,0.07017543859649122,vad_ratio=0.0702 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_7.flac,hindi,1.921,0.0,0.203125,vad_ratio=0.2031 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_5.flac,hindi,2.534,0.0,0.2261904761904762,vad_ratio=0.2262 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\1e8ba254-5f39-4203-a1b3-8bf4745cfbef_0_chunk_9.flac,hindi,1.041,0.0,0.20588235294117646,vad_ratio=0.2059 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_2.flac,hindi,2.039,0.0,0.13432835820895522,vad_ratio=0.1343 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_14.flac,hindi,2.02,0.0,0.16417910447761194,vad_ratio=0.1642 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_13.flac,hindi,3.736,0.0,0.11290322580645161,vad_ratio=0.1129 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\0a138441-c76e-4d96-ae1a-7c33bcf3b775_1_chunk_34.flac,hindi,1.407,0.0,0.1956521739130435,vad_ratio=0.1957 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_11.flac,hindi,2.045,0.0,0.07352941176470588,vad_ratio=0.0735 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_10.flac,hindi,2.01,0.0,0.08955223880597014,vad_ratio=0.0896 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\28594c36-bcc1-48c9-b0e3-60427c6963fd_0_chunk_1.flac,hindi,1.941,0.0,0.125,vad_ratio=0.125 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\1e8ba254-5f39-4203-a1b3-8bf4745cfbef_0_chunk_24.flac,hindi,2.811,0.0,0.13978494623655913,vad_ratio=0.1398 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\1e8ba254-5f39-4203-a1b3-8bf4745cfbef_0_chunk_17.flac,hindi,0.747,0.0,0.25,vad_ratio=0.25 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\1e8ba254-5f39-4203-a1b3-8bf4745cfbef_0_chunk_12.flac,hindi,1.119,0.0,0.1891891891891892,vad_ratio=0.1892 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\208564e3-c646-4e61-b6d3-7c4145912827_1_chunk_11.flac,hindi,0.544,0.0,0.2777777777777778,vad_ratio=0.2778 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\064de761-b6aa-4973-99fb-598cea7b6e3c_1_chunk_30.flac,hindi,1.572,0.0,0.1346153846153846,vad_ratio=0.1346 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\35f9cf14-dbf9-4101-9aa9-ed865fed091e_0_chunk_8.flac,hindi,0.64,0.0,0.23809523809523808,vad_ratio=0.2381 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\36f13e66-15f3-4b74-8457-f48c9004e740_0_chunk_17.flac,hindi,0.833,0.0,0.18518518518518517,vad_ratio=0.1852 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\42b24017-2156-4652-837c-1f4db7edafd5_0_chunk_16.flac,hindi,0.505,0.0,0.125,vad_ratio=0.125 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\42b24017-2156-4652-837c-1f4db7edafd5_0_chunk_32.flac,hindi,0.358,0.0,0.0,vad_ratio=0.0 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_12.flac,hindi,1.35,0.0,0.2,vad_ratio=0.2 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_1.flac,hindi,2.618,0.0,0.11494252873563218,vad_ratio=0.1149 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_2.flac,hindi,1.997,0.0,0.21212121212121213,vad_ratio=0.2121 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_20.flac,hindi,2.1,0.0,0.24285714285714285,vad_ratio=0.2429 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_3.flac,hindi,2.002,0.0,0.2727272727272727,vad_ratio=0.2727 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_1.flac,hindi,1.632,0.0,0.25925925925925924,vad_ratio=0.2593 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\46b73400-6388-43ac-b80e-b9198cef5c0b_1_chunk_9.flac,hindi,2.398,0.0,0.27848101265822783,vad_ratio=0.2785 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_11.flac,hindi,1.209,0.0,0.15,vad_ratio=0.15 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_17.flac,hindi,1.766,0.0,0.034482758620689655,vad_ratio=0.0345 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_5.flac,hindi,1.236,0.0,0.12195121951219512,vad_ratio=0.122 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\4778baf1-1370-4b4a-b226-79d9271f2c7e_0_chunk_3.flac,hindi,1.396,0.0,0.13043478260869565,vad_ratio=0.1304 < adaptive_floor=0.2909
data\audios\hindi\train-00000-of-00064\49cc3eb4-89ed-4eca-b17b-28550d2cab42_0_chunk_10.flac,hindi,1.049,0.0,0.14705882352941177,vad_ratio=0.1471 < adaptive_floor=0.2909
